sample_id,annotator,userName,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes,timestamp,domain
D054,A,Annotator_A,anger,surprise,NO,Moderate,excitement,,2026-04-20T05:20:21.647Z,Amazon
D055,A,Annotator_A,anger,surprise,NO,Moderate,anger,,2026-04-20T05:24:43.186Z,Amazon
D056,A,Annotator_A,fear,joy,NO,Slight,anxiety,,2026-04-20T05:24:57.986Z,Amazon
D057,A,Annotator_A,fear,joy,NO,Severe,anxiety,,2026-04-20T05:26:55.256Z,Amazon
D058,A,Annotator_A,fear,joy,NO,Severe,anxiety,,2026-04-20T05:27:09.064Z,Amazon
D059,A,Annotator_A,fear,joy,NO,Moderate,fear,,2026-04-20T05:27:45.075Z,Amazon
D060,A,Annotator_A,fear,joy,NO,Severe,anxiety,,2026-04-20T05:28:15.156Z,Amazon
D061,A,Annotator_A,fear,anger,NO,Moderate,fear,,2026-04-20T05:29:02.404Z,Amazon
D062,A,Annotator_A,fear,anger,NO,Slight,anxiety,,2026-04-20T05:29:27.285Z,Amazon
D063,A,Annotator_A,fear,anger,NO,Moderate,fear,,2026-04-20T05:31:04.687Z,Amazon
D064,A,Annotator_A,fear,anger,NO,Moderate,fear,,2026-04-20T05:31:10.071Z,Amazon
D065,A,Annotator_A,fear,anger,NO,Slight,fear,,2026-04-20T05:31:18.511Z,Amazon
D066,A,Annotator_A,frustration,joy,NO,Moderate,annoyance,,2026-04-20T05:36:38.676Z,Amazon
D067,A,Annotator_A,frustration,joy,NO,Moderate,frustration,,2026-04-20T05:36:48.227Z,Amazon
D068,A,Annotator_A,frustration,joy,NO,Moderate,annoyance,,2026-04-20T05:37:04.989Z,Amazon
D069,A,Annotator_A,frustration,joy,NO,Moderate,annoyance,,2026-04-20T05:37:20.299Z,Amazon
D070,A,Annotator_A,frustration,joy,NO,Severe,anger,,2026-04-20T05:37:40.219Z,Amazon
D071,A,Annotator_A,frustration,sadness,NO,Slight,annoyance,,2026-04-20T05:42:27.522Z,Amazon
D072,A,Annotator_A,frustration,sadness,NO,Moderate,frustration,,2026-04-20T05:42:39.066Z,Amazon
D073,A,Annotator_A,frustration,sadness,NO,Slight,annoyance,,2026-04-20T05:42:50.721Z,Amazon
D074,A,Annotator_A,frustration,sadness,NO,Slight,annoyance,,2026-04-20T05:42:58.441Z,Amazon
D075,A,Annotator_A,frustration,sadness,NO,Slight,annoyance,,2026-04-20T05:45:53.317Z,Amazon
D076,A,Annotator_A,neutral,anger,NO,Moderate,neutral,,2026-04-20T05:47:22.152Z,Amazon
D077,A,Annotator_A,neutral,anger,NO,Moderate,neutral,,2026-04-20T05:47:30.647Z,Amazon
D078,A,Annotator_A,neutral,anger,NO,Moderate,neutral,,2026-04-20T05:47:38.552Z,Amazon
D079,A,Annotator_A,neutral,anger,NO,Moderate,neutral,,2026-04-20T05:48:16.500Z,Amazon
D080,A,Annotator_A,neutral,anger,NO,Moderate,neutral,,2026-04-20T05:53:06.588Z,Amazon
D081,A,Annotator_A,neutral,sadness,NO,Moderate,neutral,,2026-04-20T05:53:55.882Z,Amazon
D082,A,Annotator_A,neutral,sadness,NO,Moderate,neutral,,2026-04-20T05:54:18.459Z,Amazon
D083,A,Annotator_A,neutral,sadness,NO,Moderate,neutral,,2026-04-20T05:54:24.522Z,Amazon
D084,A,Annotator_A,neutral,sadness,NO,Moderate,neutral,,2026-04-20T05:54:30.779Z,Amazon
D085,A,Annotator_A,neutral,sadness,NO,Moderate,neutral,,2026-04-20T05:54:37.690Z,Amazon
D086,A,Annotator_A,neutral,joy,NO,Slight,neutral,,2026-04-20T05:54:47.930Z,Amazon
D087,A,Annotator_A,neutral,joy,NO,Slight,neutral,,2026-04-20T05:55:58.615Z,Amazon
D088,A,Annotator_A,neutral,joy,NO,Slight,neutral,,2026-04-20T05:57:22.336Z,Amazon
D089,A,Annotator_A,neutral,joy,NO,Slight,neutral,,2026-04-20T05:57:27.873Z,Amazon
D090,A,Annotator_A,neutral,joy,NO,Slight,neutral,,2026-04-20T06:01:17.483Z,Amazon
D091,A,Annotator_A,contentment,sadness,NO,Moderate,contentment,,2026-04-20T06:01:31.914Z,Amazon
D092,A,Annotator_A,contentment,sadness,NO,Moderate,contentment,,2026-04-20T06:03:25.863Z,Amazon
D093,A,Annotator_A,contentment,sadness,NO,Moderate,contentment,,2026-04-20T06:03:42.800Z,Amazon
D094,A,Annotator_A,contentment,sadness,NO,Moderate,contentment,,2026-04-20T06:04:20.823Z,Amazon
D095,A,Annotator_A,contentment,sadness,NO,Moderate,contentment,,2026-04-20T06:04:28.360Z,Amazon
D096,A,Annotator_A,excitement,fear,NO,Moderate,contentment,,2026-04-20T06:04:36.911Z,Amazon
D097,A,Annotator_A,excitement,fear,NO,Moderate,contentment,,2026-04-20T06:04:45.919Z,Amazon
D098,A,Annotator_A,excitement,fear,NO,Moderate,joy,,2026-04-20T06:04:57.503Z,Amazon
D099,A,Annotator_A,excitement,fear,NO,Severe,excitement,,2026-04-20T06:05:11.335Z,Amazon
D100,A,Annotator_A,excitement,fear,NO,Severe,excitement,,2026-04-20T06:05:20.615Z,Amazon
S001,A,Annotator_A,frustration,annoyance,NO,Slight,annoyance,,2026-04-20T06:08:13.543Z,Amazon
S002,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:08:44.079Z,Amazon
S003,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:10:00.506Z,Amazon
S004,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:10:12.498Z,Amazon
S005,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:11:05.427Z,Amazon
S006,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:12:59.364Z,Amazon
S007,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:13:12.332Z,Amazon
S008,A,Annotator_A,frustration,annoyance,NO,Moderate,frustration,,2026-04-20T06:13:37.652Z,Amazon
S009,A,Annotator_A,frustration,annoyance,NO,Slight,frustration,,2026-04-20T06:15:44.879Z,Amazon
S010,A,Annotator_A,annoyance,frustration,NO,Slight,neutral,,2026-04-20T06:40:33.004Z,Amazon
S011,A,Annotator_A,annoyance,frustration,NO,Slight,annoyance,,2026-04-20T06:40:49.138Z,Amazon
S012,A,Annotator_A,annoyance,frustration,NO,Slight,annoyance,,2026-04-20T06:41:00.482Z,Amazon
S013,A,Annotator_A,annoyance,frustration,NO,Moderate,annoyance,,2026-04-20T07:24:17.584Z,Amazon
S014,A,Annotator_A,annoyance,frustration,NO,Slight,neutral,,2026-04-20T07:25:06.969Z,Amazon
S015,A,Annotator_A,annoyance,frustration,NO,Slight,neutral,,2026-04-20T07:25:59.339Z,Amazon
S016,A,Annotator_A,annoyance,frustration,NO,Slight,annoyance,,2026-04-20T07:26:18.883Z,Amazon
S017,A,Annotator_A,annoyance,frustration,NO,Slight,annoyance,,2026-04-20T07:26:37.107Z,Amazon
S018,A,Annotator_A,annoyance,frustration,NO,Slight,annoyance,,2026-04-20T07:26:48.067Z,Amazon
S019,A,Annotator_A,anger,disgust,NO,Slight,disgust,,2026-04-20T07:27:38.745Z,Amazon
S020,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:48:27.007Z,Amazon
S021,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:51:01.054Z,Amazon
S022,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:51:08.766Z,Amazon
S023,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:51:17.294Z,Amazon
S024,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:51:30.285Z,Amazon
S025,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:51:50.373Z,Amazon
S026,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:52:51.271Z,Amazon
S027,A,Annotator_A,anger,disgust,NO,Slight,anger,,2026-04-20T07:52:56.800Z,Amazon
S028,A,Annotator_A,disgust,anger,YES,None,annoyance,,2026-04-20T07:54:50.268Z,Amazon
S029,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:55:41.278Z,Amazon
S030,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:55:54.614Z,Amazon
S031,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:03.654Z,Amazon
S032,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:10.734Z,Amazon
S033,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:18.518Z,Amazon
S034,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:23.813Z,Amazon
S035,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:44.662Z,Amazon
S036,A,Annotator_A,disgust,anger,NO,Slight,disgust,,2026-04-20T07:56:54.382Z,Amazon
S037,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:57:21.028Z,Amazon
S038,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:57:28.485Z,Amazon
S039,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:57:34.089Z,Amazon
S040,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:57:41.793Z,Amazon
S041,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:57:46.353Z,Amazon
S042,A,Annotator_A,joy,contentment,NO,Slight,joy,,2026-04-20T07:57:56.714Z,Amazon
S043,A,Annotator_A,joy,contentment,NO,Slight,joy,,2026-04-20T07:58:03.593Z,Amazon
S044,A,Annotator_A,joy,contentment,YES,None,contentment,,2026-04-20T07:58:11.842Z,Amazon
S045,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T07:58:34.106Z,Amazon
S046,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T07:58:48.513Z,Amazon
S047,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T07:59:42.047Z,Amazon
S048,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T07:59:50.791Z,Amazon
S049,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T07:59:55.657Z,Amazon
S050,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T08:00:01.023Z,Amazon
S051,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T08:00:05.799Z,Amazon
S052,A,Annotator_A,contentment,joy,NO,Slight,contentment,,2026-04-20T08:00:12.335Z,Amazon
S053,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:00:20.455Z,Amazon
S054,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:00:31.775Z,Amazon
S055,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:00:38.671Z,Amazon
S056,A,Annotator_A,fear,anxiety,NO,Slight,fear,,2026-04-20T08:00:48.967Z,Amazon
S057,A,Annotator_A,fear,anxiety,NO,Slight,fear,,2026-04-20T08:00:57.440Z,Amazon
S058,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:01:06.023Z,Amazon
S059,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:01:12.576Z,Amazon
S060,A,Annotator_A,fear,anxiety,YES,None,anxiety,,2026-04-20T08:01:16.959Z,Amazon
S061,A,Annotator_A,anxiety,fear,YES,None,fear,,2026-04-20T08:01:29.567Z,Amazon
S062,A,Annotator_A,anxiety,fear,NO,Slight,neutral,,2026-04-20T08:01:48.983Z,Amazon
S063,A,Annotator_A,anxiety,fear,NO,Slight,annoyance,,2026-04-20T08:02:00.631Z,Amazon
S064,A,Annotator_A,anxiety,fear,NO,Slight,anxiety,,2026-04-20T08:02:46.196Z,Amazon
S065,A,Annotator_A,anxiety,fear,NO,Slight,neutral,,2026-04-20T08:03:03.636Z,Amazon
S066,A,Annotator_A,anxiety,fear,NO,Slight,neutral,,2026-04-20T08:03:09.260Z,Amazon
S067,A,Annotator_A,anxiety,fear,NO,Slight,neutral,,2026-04-20T08:03:14.702Z,Amazon
S068,A,Annotator_A,anxiety,fear,NO,Slight,anxiety,,2026-04-20T08:03:35.828Z,Amazon
S069,A,Annotator_A,joy,surprise,YES,None,excitement,,2026-04-20T08:03:48.788Z,Amazon
S070,A,Annotator_A,joy,surprise,NO,Slight,contentment,,2026-04-20T08:06:01.676Z,Amazon
S071,A,Annotator_A,joy,surprise,YES,None,surprise,,2026-04-20T08:08:10.933Z,Amazon
S072,A,Annotator_A,joy,surprise,YES,None,surprise,,2026-04-20T08:08:15.477Z,Amazon
S073,A,Annotator_A,joy,surprise,YES,None,surprise,,2026-04-20T08:08:25.797Z,Amazon
S074,A,Annotator_A,joy,surprise,NO,Slight,joy,,2026-04-20T08:08:56.429Z,Amazon
S075,A,Annotator_A,joy,surprise,YES,None,surprise,,2026-04-20T08:09:02.666Z,Amazon
S076,A,Annotator_A,joy,surprise,NO,Slight,joy,,2026-04-20T08:10:01.861Z,Amazon
S077,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:10:14.851Z,Amazon
S078,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:10:24.123Z,Amazon
S079,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:11:00.538Z,Amazon
S080,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:11:15.890Z,Amazon
S081,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:11:44.114Z,Amazon
S082,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:11:58.530Z,Amazon
S083,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:15:12.400Z,Amazon
S084,A,Annotator_A,sadness,fear,NO,Slight,sadness,,2026-04-20T08:16:51.584Z,Amazon
S085,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:30:24.478Z,Amazon
S086,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:30:31.206Z,Amazon
S087,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:32:40.579Z,Amazon
S088,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:33:17.474Z,Amazon
S089,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:33:26.187Z,Amazon
S090,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:33:30.923Z,Amazon
S091,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:33:35.306Z,Amazon
S092,A,Annotator_A,disgust,annoyance,NO,Slight,disgust,,2026-04-20T08:33:40.235Z,Amazon
S093,A,Annotator_A,frustration,disgust,NO,Slight,disgust,,2026-04-20T08:33:45.427Z,Amazon
S094,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:33:55.064Z,Amazon
S095,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:33:59.608Z,Amazon
S096,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:34:03.888Z,Amazon
S097,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:34:10.560Z,Amazon
S098,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:34:15.423Z,Amazon
S099,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:34:19.344Z,Amazon
S100,A,Annotator_A,frustration,disgust,NO,Slight,frustration,,2026-04-20T08:34:24.431Z,Amazon
